"Nutrient Modeling (Hypoxia Task Force Search)"
"Search Criteria: Year = 2020; EPA Region = 02; Include all nitrogen loads; Include all phosphorus loads"

"Year","NPDES Permit Number","FRS ID","SIC Code","NAICS Code","Facility Name","City","State","ZIP Code","County","FIPS Code","EPA Region","Facility Type Indicator","Permit Type","Major/Non-Major Status","HUC 12 Code","Total Facility Design Flow (MGD)","Actual Average Facility Flow (MGD)","Facility Latitude","Facility Longitude","Nutrient Type","Total Pounds (lb/yr)","Total Annual Flow (MGal/yr)","Max Allowable Load (kg/yr)","Load Over Limit","Avg Concentration","Data Source for Concentration","Data Source for Flow","Discharges to Impaired Water Bodies","Discharges Pollutants Contributing to Water Body Impairment"
2020,"NJ0004766","110009839504","2092","","SURFSIDE PRODUCTS LLC","BIVALVE","NJ","08349","CUMBERLAND","34011","02","NON-POTW","NPDES Individual Permit","Non-Major","020402060507",,.12,"39.230615","-75.034705","Nitrogen",11983.3152057102668758581539423979818271,57.053,998.609600475855572988179495199831818925,,24.5903189206414840234696650136304761545,"Modeled","DMR Data","Y",""
2020,"NJ0004766","110009839504","2092","","SURFSIDE PRODUCTS LLC","BIVALVE","NJ","08349","CUMBERLAND","34011","02","NON-POTW","NPDES Individual Permit","Non-Major","020402060507",,.12,"39.230615","-75.034705","Phosphorus",2043.920645293532558049660561928513903725,57.053,170.326720441127713170805046827376158644,,4.27696175595581788577487938975679550202,"Modeled","DMR Data","Y",""
2020,"NJ0004812","110000581941","3643","","THOMAS & BETTS CORP - AMERACE ELASTIMOLD","HACKETTSTOWN","NJ","07840","WARREN","34027","02","NON-POTW","NPDES Individual Permit","Non-Major","020401050503",,.24,"40.820611","-74.833","Nitrogen",32.69529078260869565217391304347826086957,.6171428571428571428571428571428571428571,2.72460756521739130434782608695652173913,,6.34782608695652173913043478260869565217,"Modeled","DMR Data","Y",""
2020,"NJ0004952","110040963286","2833","325412","DSM NUTRITIONAL PRODUCTS, INC.","BELVIDERE","NJ","07823-1101","WARREN","34041","02","NON-POTW","NPDES Individual Permit","Major","020401050601",,3,"40.843611","-75.066389","Nitrogen",84905.37430091714866545071769986756838,284.0716,7075.447858409762388787559808322297365033,,37.08833245870297638296935644926986317114,"Modeled","DMR Data","Y","Y"
2020,"NJ0004952","110040963286","2833","325412","DSM NUTRITIONAL PRODUCTS, INC.","BELVIDERE","NJ","07823-1101","WARREN","34041","02","NON-POTW","NPDES Individual Permit","Major","020401050601",,3,"40.843611","-75.066389","Phosphorus",136.584123456249862966616042803207399525,284.0716,11.38201028802082191388467023360061662708,,.0577244503006082598355478344275635800561,"Modeled","DMR Data","Y","Y"
2020,"NJ0005029","110022294569","2911","","PAULSBORO REFINING CO LLC","PAULSBORO","NJ","08066","GLOUCESTER","34015","02","NON-POTW","NPDES Individual Permit","Major","020402020507",,9.5,"39.8401","-75.2574","Nitrogen",1042919.88798656740534364470122683682671,3209.297,86909.9906655472837786370584355697355592,,25.8523998081635582376163544023099945068,"Modeled","DMR Data","Y",""
2020,"NJ0005029","110022294569","2911","","PAULSBORO REFINING CO LLC","PAULSBORO","NJ","08066","GLOUCESTER","34015","02","NON-POTW","NPDES Individual Permit","Major","020402020507",,9.5,"39.8401","-75.2574","Phosphorus",31355.1,3209.297,,0,3.5468631247858841257109716663334713157,"DMR Data","DMR Data","Y",""
2020,"NJ0005045","110000582003","2869","","DELAWARE RIVER PLANT","BRIDGEPORT","NJ","08014","GLOUCESTER","34015","02","NON-POTW","NPDES Individual Permit","Major","020402020606",,1.27,"39.80142","-75.35499","Nitrogen",5729.964255225,366.63,20393.3668246875,0,.9235094910366515823981992916324576713986,"DMR Data","DMR Data","Y",""
2020,"NJ0005045","110000582003","2869","","DELAWARE RIVER PLANT","BRIDGEPORT","NJ","08014","GLOUCESTER","34015","02","NON-POTW","NPDES Individual Permit","Major","020402020606",,1.27,"39.80142","-75.35499","Phosphorus",1646.04447791316732751851844470119449205,366.63,137.170373159430610626543203725099541004,,.4600696004483730484405610415560805150514,"Modeled","DMR Data","Y",""
2020,"NJ0005100","110007970142","2869","","CHEMOURS CHAMBERS WORKS","DEEPWATER","NJ","08023","SALEM","34033","02","NON-POTW","NPDES Individual Permit","Major","020402060103",,62.6,"39.682362","-75.491379","Nitrogen",165141.3879675,4759.664945,351842.6625,0,1.1909504894354630153837551459744326323,"DMR Data","DMR Data","Y","Y"
